2025-06-18 00:39:11.818 [main] INFO  com.parkee.parkingpos.ParkingPosApplication - Starting ParkingPosApplication using Java 22.0.1 with PID 83171 (/Users/bilawalrizky/Documents/2025 - Project/parkee-technical-test/5-Parking-POS/parking-pos-service/target/classes started by bilawalrizky in /Users/bilawalrizky/Documents/2025 - Project/parkee-technical-test/5-Parking-POS/parking-pos-service)
2025-06-18 00:39:15.294 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:postgresql://localhost:5434/parking_pos_db (PostgreSQL 16.2)
2025-06-18 00:39:15.411 [main] INFO  org.flywaydb.core.internal.command.DbValidate - Successfully validated 1 migration (execution time 00:00.053s)
2025-06-18 00:39:15.425 [main] INFO  org.flywaydb.core.internal.command.DbMigrate - Current version of schema "public": 1
2025-06-18 00:39:15.429 [main] INFO  org.flywaydb.core.internal.command.DbMigrate - Schema "public" is up to date. No migration necessary.
2025-06-18 00:39:15.554 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-06-18 00:39:15.624 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.3.Final
2025-06-18 00:39:15.670 [main] INFO  o.hibernate.cache.internal.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-06-18 00:39:16.031 [main] INFO  o.s.o.j.persistenceunit.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-06-18 00:39:16.101 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-06-18 00:39:17.227 [main] INFO  o.h.e.t.jta.platform.internal.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-06-18 00:39:17.351 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-06-18 00:39:18.075 [main] INFO  o.s.data.jpa.repository.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-06-18 00:39:19.632 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name inMemoryUserDetailsManager
2025-06-18 00:39:19.738 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2025-06-18 00:39:20.206 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 8 endpoints beneath base path '/actuator'
2025-06-18 00:39:21.041 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path '/api'
2025-06-18 00:39:21.058 [main] INFO  com.parkee.parkingpos.ParkingPosApplication - Started ParkingPosApplication in 9.98 seconds (process running for 10.587)
2025-06-18 00:39:21.154 [main] INFO  com.parkee.parkingpos.ApplicationStartupRunner - 
----------------------------------------------------------
	Application 'parking-pos' is running! Access URLs:
	Local: 		http://localhost:8081/api
	External: 	http://127.0.0.1:8081/api
	Profile(s): 	default
	Swagger UI: 	http://localhost:8081/api/swagger-ui.html
----------------------------------------------------------
2025-06-18 00:39:26.050 [http-nio-8081-exec-1] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-06-18 00:39:26.051 [http-nio-8081-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-06-18 00:39:26.055 [http-nio-8081-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 4 ms
2025-06-18 00:39:27.752 [http-nio-8081-exec-6] INFO  org.springdoc.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 748 ms
2025-06-18 00:43:06.416 [SpringApplicationShutdownHook] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-06-18 00:43:06.432 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-06-18 00:43:06.450 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
